energy,Adipose,Air,Al,Au,Ba,Be,Bone,Ca,Cu,Er,Fe,Ga,Glass,Hf,I,Mg,Mn,Mo,Nb,Pb,Pd,Pmm,Pt,Rh,Si,Skeletal,Ti,Tiss,W,Wat,Y,Zn
42.75,0.02176,2.81e-05,0.132,5.131990015,7.14,0.02975,0.1094,0.2341,3.56,6.228,2.338578,2.763,0.0852,10.80772,9.0219,0.07395,1.927,10.9,8.57,13.5065,15.9866,0.02678,22.09,15.7607,0.138868,0.02646,0.8217,0.026712,17.0,0.0252,3.901,3.13852
43.25,0.02166,2.78e-05,0.1287,4.980541945,6.93,0.02975,0.1068,0.2263,3.44,6.047,2.259838,2.675,0.0834,10.48828,8.7754,0.07238,1.867,10.5,8.339,13.0525,15.5058,0.02654,21.43,15.2643,0.135606,0.02625,0.799,0.0265,16.5,0.025,3.781,3.038658
43.75,0.02147,2.75e-05,0.126,4.829093875,6.72,0.02957,0.1043,0.2201,3.33,5.866,2.188972,2.592,0.0818,10.18215,8.4796,0.07082,1.808,10.2,8.082,12.712,15.025,0.02642,20.81,14.7679,0.132344,0.02604,0.7763,0.026288,16.0,0.0248,3.66,2.938796
44.25,0.02138,2.72e-05,0.1231,4.677645806,6.545,0.02957,0.102,0.2139,3.24,5.693,2.12598,2.509,0.0805,9.87602,8.2331,0.06943,1.756,9.93,7.833,12.3715,14.5442,0.02618,20.21,14.3956,0.129082,0.02573,0.7491,0.026076,15.6,0.0246,3.548,2.8532
44.75,0.02128,2.7e-05,0.1206,4.539230094,6.335,0.02938,0.09965,0.2077,3.14,5.53,2.055114,2.432,0.0789,9.59651,8.0359,0.06821,1.704,9.64,7.602,12.031,14.1836,0.02606,19.63,13.8992,0.126053,0.02552,0.7264,0.025758,15.1,0.0244,3.441,2.760471
45.25,0.02109,2.68e-05,0.1179,4.418961407,6.16,0.02938,0.09754,0.2015,3.04,5.367,1.992122,2.362,0.0776,9.317,7.7894,0.06682,1.652,9.34,7.37,11.6905,13.7028,0.02582,19.07,13.5269,0.123257,0.02531,0.7082,0.025546,14.7,0.0242,3.338,2.682008
45.75,0.021,2.66e-05,0.1155,4.298692719,5.985,0.0292,0.09542,0.1953,2.95,5.222,1.937004,2.291,0.0763,9.06411,7.5922,0.0656,1.6,9.07,7.156,11.3273,13.3422,0.0257,18.53,13.1546,0.120461,0.0251,0.6855,0.02544,14.3,0.024,3.24,2.596412
46.25,0.0209,2.64e-05,0.1134,4.178424032,5.845,0.0292,0.09331,0.1907,2.86,5.077,1.881886,2.22,0.0749,8.81122,7.3457,0.06438,1.555,8.8,6.95,11.0095,12.9816,0.02559,18.02,12.7823,0.117898,0.02499,0.6674,0.025228,13.9,0.0238,3.146,2.525082
46.75,0.02081,2.62e-05,0.1109,4.058155344,5.67,0.0292,0.09139,0.1845,2.78,4.932,1.826768,2.155,0.0738,8.57164,7.1485,0.06316,1.51,8.54,6.745,10.7144,12.621,0.02547,17.52,12.39759,0.115335,0.02478,0.6492,0.025016,13.5,0.0236,3.052,2.446619
47.25,0.02062,2.59e-05,0.1088,3.937886657,5.53,0.02901,0.08966,0.1798,2.7,4.796,1.77165,2.096,0.0727,8.33206,6.9513,0.06212,1.466,8.3,6.556,10.4193,12.2604,0.02535,17.03,12.05011,0.113005,0.02457,0.6311,0.024804,13.1,0.0235,2.967,2.375289
47.75,0.02052,2.58e-05,0.1069,3.82386831,5.355,0.02901,0.08794,0.1752,2.62,4.669,1.724406,2.031,0.0714,8.10579,6.7541,0.06107,1.421,8.05,6.368,10.1469,11.87576,0.02523,16.58,11.70263,0.110675,0.02436,0.6129,0.024698,12.8,0.0233,2.883,2.311092
48.25,0.02043,2.56e-05,0.1047,3.729992415,5.215,0.02883,0.08621,0.1705,2.55,4.542,1.677162,1.978,0.0705,7.89283,6.6062,0.06003,1.384,7.83,6.188,9.8745,11.55122,0.02499,16.15,11.37997,0.108345,0.02426,0.5947,0.024486,12.4,0.0231,2.802,2.246895
48.75,0.02033,2.54e-05,0.1028,3.636116519,5.075,0.02883,0.08448,0.1659,2.47,4.424,1.629918,1.919,0.0694,7.67987,6.409,0.05916,1.347,7.6,6.016,9.61345,11.22668,0.02487,15.72,11.06972,0.106248,0.02405,0.5811,0.024274,12.1,0.023,2.722,2.182698
49.25,0.02024,2.52e-05,0.1012,3.542240624,4.97,0.02883,0.08294,0.1628,2.41,4.315,1.582674,1.866,0.0685,7.48022,6.2611,0.05812,1.309,7.4,5.853,9.36375,10.92618,0.02475,15.32,10.77188,0.104151,0.02394,0.5675,0.024168,11.8,0.0228,2.65,2.118501
49.75,0.02014,2.51e-05,0.09932,3.448364728,4.83,0.02864,0.08141,0.1581,2.34,4.198,1.543304,1.818,0.0674,7.29388,6.0639,0.05725,1.272,7.2,5.69,9.1254,10.6377,0.02463,14.91,10.48645,0.102054,0.02373,0.5493,0.023956,11.5,0.0227,2.574,2.061437
50.25,0.02005,2.49e-05,0.0977,3.354488833,4.69,0.02864,0.08006,0.1541,2.28,4.098,1.503934,1.765,0.0665,7.10754,5.916,0.05638,1.242,7.0,5.536,8.8984,10.34922,0.02451,14.54,10.20102,0.10019,0.02363,0.5357,0.02385,11.2,0.0226,2.507,2.004373
50.75,0.01995,2.47e-05,0.09608,3.260612937,4.585,0.02864,0.07853,0.1504,2.21,3.989,1.45669,1.718,0.0656,6.9212,5.7681,0.05551,1.205,6.81,5.391,8.6714,10.08478,0.02451,14.16,9.94041,0.098326,0.02342,0.5221,0.023744,10.9,0.0224,2.44,1.954442
51.25,0.01995,2.46e-05,0.09447,3.179723582,4.48,0.02846,0.07718,0.1468,2.16,3.889,1.425194,1.671,0.0647,6.74817,5.6202,0.05481,1.176,6.63,5.253,8.45575,9.82034,0.0244,13.81,9.6798,0.096695,0.02331,0.5085,0.023532,10.6,0.0223,2.373,1.904511
51.75,0.01986,2.45e-05,0.09312,3.106488763,4.34,0.02846,0.07603,0.1434,2.11,3.79,1.385824,1.63,0.064,6.58845,5.4723,0.05394,1.146,6.46,5.116,8.2401,9.56792,0.02428,13.47,9.41919,0.095064,0.02321,0.4994,0.023426,10.4,0.0222,2.31,1.85458
52.25,0.01976,2.43e-05,0.0915,3.033253944,4.235,0.02846,0.07469,0.14,2.05,3.699,1.354328,1.588,0.0631,6.41542,5.3244,0.05324,1.116,6.29,4.979,8.0358,9.3155,0.02416,13.13,9.1834,0.093433,0.0231,0.4858,0.02332,10.1,0.022,2.252,1.804649
52.75,0.01967,2.42e-05,0.09015,2.960019126,4.13,0.02827,0.07354,0.1367,2.0,3.608,1.314958,1.547,0.0624,6.26901,5.2258,0.05255,1.094,6.13,4.851,7.84285,9.08712,0.02404,12.83,8.94761,0.091802,0.02289,0.4722,0.023214,9.86,0.0219,2.194,1.754718
53.25,0.01957,2.4e-05,0.0888,2.886784307,4.025,0.02827,0.07238,0.1336,1.94,3.527,1.283462,1.506,0.0616,6.10929,5.0779,0.05185,1.064,5.97,4.731,7.66125,8.85874,0.02392,12.51,8.72423,0.090171,0.02279,0.4631,0.023002,9.63,0.0218,2.136,1.71192
53.75,0.01948,2.39e-05,0.08745,2.813549489,3.955,0.02827,0.07123,0.1307,1.9,3.445,1.251966,1.47,0.0609,5.97619,4.93,0.05116,1.034,5.83,4.611,7.47965,8.63036,0.0238,12.21,8.50085,0.088773,0.02268,0.4517,0.022896,9.4,0.0217,2.083,1.669122
54.25,0.01948,2.37e-05,0.08637,2.74031467,3.85,0.02809,0.07008,0.1277,1.85,3.363,1.22047,1.435,0.0602,5.82978,4.8314,0.05063,1.012,5.67,4.499,7.29805,8.42602,0.0238,11.93,8.30229,0.087375,0.02258,0.4413,0.02279,9.19,0.0216,2.033,1.626324
54.75,0.01938,2.36e-05,0.08502,2.67630732,3.745,0.02809,0.06912,0.1249,1.8,3.282,1.188974,1.399,0.0595,5.69668,4.71308,0.04994,0.9895,5.54,4.388,7.1278,8.22168,0.02368,11.65,8.09132,0.085977,0.02247,0.4313,0.022684,8.96,0.0215,1.98,1.590659
55.25,0.01929,2.35e-05,0.08394,2.619387556,3.675,0.02809,0.06816,0.1223,1.76,3.209,1.165352,1.364,0.0589,5.56358,4.59969,0.04924,0.9672,5.41,4.276,6.9689,8.01734,0.02356,11.37,7.89276,0.084812,0.02237,0.4218,0.022578,8.76,0.0214,1.935,1.547861
55.75,0.01929,2.34e-05,0.08286,2.562467792,3.57,0.02809,0.0672,0.1198,1.72,3.137,1.133856,1.328,0.0582,5.43048,4.49123,0.04872,0.9449,5.27,4.174,6.81,7.82502,0.02356,11.11,7.70661,0.083414,0.02226,0.4122,0.022472,8.55,0.0213,1.886,1.512196
56.25,0.01919,2.33e-05,0.08178,2.505548028,3.4965,0.0279,0.06624,0.1172,1.68,3.064,1.110234,1.299,0.0575,5.31069,4.3877,0.0482,0.9226,5.14,4.071,6.6511,7.64472,0.02344,10.85,7.52046,0.082249,0.02216,0.4032,0.022366,8.36,0.0212,1.841,1.476531
56.75,0.0191,2.31e-05,0.0807,2.448628264,3.4125,0.0279,0.06528,0.1149,1.64,2.992,1.086612,1.269,0.0571,5.1909,4.28417,0.04768,0.9002,5.02,3.976,6.50355,7.4524,0.02332,10.62,7.34672,0.081084,0.02205,0.3945,0.02226,8.18,0.0211,1.797,1.440866
57.25,0.019,2.31e-05,0.07962,2.3917085,3.3355,0.0279,0.06451,0.1125,1.6,13.69,1.06299,1.24,0.0564,5.07111,4.18557,0.04715,0.8779,4.91,3.882,6.356,7.28412,0.02321,10.38,7.17298,0.079919,0.02195,0.3859,0.022154,7.99,0.021,1.752,1.405201
